state,county_fips,place_id,name,year_dis,referendum,votesyes,voteno,threshold,pop_dis,year_nextpres
NY,36013,3667488,Sinclairville village,2019,TRUE,94,128,0.5,558,2020
NY,36029,3667686,Sloan village,2010,TRUE,236,1031,0.5,7532,2012
NY,36041,3670123,Speculator village,2008,TRUE,46,132,0.5,324,2008
NY,36015,3676881,Van Etten CDP,2017,TRUE,103,76,0.5,600,2020
NY,36011,3677431,Victory village,2013,TRUE,82,143,0.5,1838,2016
NY,36065,3681710,Whitesboro village,2011,TRUE,366,679,0.5,3772,2012
NY,36029,3682084,Williamsville village,2010,TRUE,309,1546,0.5,5300,2012
NY,36063,3682359,Wilson village,2014,TRUE,209,222,0.5,1264,2016
NC,37069,3711560,Centerville CDP,2018,FALSE,NA,NA,0.5,89,2020
ND,38049,3804740,Bantry CDP,2021,FALSE,NA,NA,0.5,6,2024
OH,39089,3901154,Alexandria village,2018,TRUE,17,209,0.5,542,2020
OH,39025,3901742,Amelia CDP,2019,TRUE,843,479,0.5,5039,2020
OH,39133,3908168,Brady Lake CDP,2013,TRUE,63,135,0.5,518,2016
OH,39133,3908168,Brady Lake CDP,2017,TRUE,106,88,0.5,518,2020
OH,39001,3913834,Cherry Fork CDP,2014,TRUE,22,5,0.5,150,2016
OH,39053,3913932,Cheshire village,2003,TRUE,5,60,0.5,221,2004
OH,39059,3919694,Cumberland village,2007,TRUE,45,129,0.5,367,2008
OH,39003,3927944,Fort Shawnee CDP,2012,TRUE,1085,858,0.5,3726,2012
OH,36155,3934202,Hartford village,2014,TRUE,19,133,0.5,397,2016
OH,39075,3935994,Holmesville village,2004,TRUE,43,136,0.5,386,2004
OH,39151,3943596,Limaville CDP,2015,TRUE,23,29,0.5,151,2016
OH,39151,3943596,Limaville CDP,2018,TRUE,30,12,0.5,151,2020
OH,39083,3948090,Martinsburg village,2004,TRUE,11,77,0.5,185,2004
OH,39025,3953956,Neville village,2016,TRUE,11,19,0.5,100,2016
OH,39025,3955664,Newtonsville village,2019,TRUE,53,46,0.5,392,2020
OH,39061,3956182,North Bend village,2003,TRUE,88,309,0.5,603,2004
OH,39129,3958800,Orient CDP,2013,TRUE,38,30,0.5,270,2016
OH,39015,3969666,St. Martin CDP,2011,TRUE,43,14,0.5,129,2012
OH,39059,3970072,Salesville CDP,2015,TRUE,22,11,0.5,129,2016
OH,39081,3972760,Smithfield village,2016,TRUE,94,128,0.5,790,2016
OH,39081,3972760,Smithfield village,2019,TRUE,99,84,0.5,790,2020
OH,39017,3972998,Somerville CDP,2017,TRUE,25,23,0.5,283,2020
OH,39011,3978848,Uniopolis CDP,2012,TRUE,57,60,0.5,222,2012
OH,39011,3978848,Uniopolis CDP,2013,TRUE,49,23,0.5,222,2016
OR,41005,4117800,Damascus CDP,2016,TRUE,2834,1400,0.5,12024,2016
PA,42011,4274744,Strausstown CDP,2017,TRUE,97,6,0.5,300,2020
SD,46097,4656420,Roswell CDP,2014,FALSE,0,0,0.5,15,2016
TN,47099,4737360,Iron City CDP,2013,FALSE,0,0,0.5,180,2016
UT,49021,4911435,Cedar Highlands CDP,2020,TRUE,73,12,0.5,368,2020
UT,49045,4956750,Ophir CDP,2018,TRUE,11,7,0.5,40,2020
VT,50023,5011050,Cabot CDP,2013,FALSE,0,0,0.5,239,2016
VT,50023,5050200,Northfield CDP,2012,FALSE,0,0,0.5,3757,2012
VT,50025,5052375,North Westminster CDP,2010,FALSE,0,0,0.5,262,2012
VT,50023,5076900,Waterbury CDP,2017,TRUE,224,83,0.5,1897,2020
VA,51065,5118624,Columbia CDP,2017,TRUE,18,1,0.5,83,2020
OH,39049,39XXXXX,New Rome,2003,FALSE,0,0,0.5,NA,2004
