"","USPS","GEOID","ANSICODE","NAME","LSAD","FUNCSTAT","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","year"
"27063","VA",5149792,2629767,"Marumsco CDP","57","S",19220715,1006398,7.421,0.389,38.636296,-77.257245,2019
"27072","VA",5150776,2584879,"Meadow View CDP","57","S",11993242,12777,4.631,0.005,36.763746,-81.88354,2019
"27089","VA",5153031,2584884,"Moorefield Station CDP","57","S",2941726,2166,1.136,0.001,38.999876,-77.493328,2019
"27100","VA",5155272,2629768,"Neabsco CDP","57","S",11936428,633809,4.609,0.245,38.608262,-77.282893,2019
"27488","WA",5322118,2408087,"Erlands Point-Kitsap Lake CDP","57","S",4538227,1495328,1.752,0.577,47.597437,-122.702753,2019
"27564","WA",5334470,2408456,"Junction City CDP","57","S",3585139,498086,1.384,0.192,46.968895,-123.762288,2019
"27708","WA",5349992,2408943,"North Marysville CDP","57","S",3357517,0,1.296,0,48.111155,-122.145873,2019
"27862","WA",5370315,2410056,"Tanner CDP","57","S",9943359,456582,3.839,0.176,47.476623,-121.682885,2019
"27914","WA",5377745,2409567,"West Side Highway CDP","57","S",6555315,334599,2.531,0.129,46.181469,-122.914298,2019
"29454","PR",7245336,2414861,"Levittown comunidad","55","S",5943814,674636,2.295,0.26,18.44474,-66.175684,2019
"29492","PR",7258516,2414895,"Palmas comunidad","55","S",3385397,12947,1.307,0.005,17.988396,-66.025126,2019
"1468","AR",505740,2403866,"Bethel Heights city","25","A",5440669,21958,2.101,0.008,36.221158,-94.129799,2020
"5321","FL",1275625,2405701,"Weeki Wachee city","25","A",2607499,128656,1.007,0.05,28.516532,-82.580682,2020
"28790","VT",5054850,2378325,"Perkinsville village","47","A",472250,20677,0.182,0.008,43.371285,-72.514373,2020
