"","USPS","GEOID","ANSICODE","NAME","LSAD","FUNCSTAT","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","year","before_LSAD","change","disinc","disinc_dummy"
"44","OH",3972998,2785016,"Somerville CDP","57","S",683116,5839,0.264,0.002,39.563828,-84.639283,2017,"47",TRUE,TRUE,1
"45","OH",3978848,2785017,"Uniopolis CDP","57","S",688263,0,0.266,0,40.602322,-84.085692,2017,"47",TRUE,TRUE,1
"46","OR",4117800,2787907,"Damascus CDP","57","S",51136911,489308,19.744,0.189,45.426416,-122.442992,2018,"25",TRUE,TRUE,1
"47","PA",4274744,2785019,"Strausstown CDP","57","S",839979,10872,0.324,0.004,40.492337,-76.181606,2017,"21",TRUE,TRUE,1
"48","SD",4656420,2761337,"Roswell CDP","57","S",1054913,0,0.407,0,44.005973,-97.697451,2014,"43",TRUE,TRUE,1
"49","UT",4911435,2829873,"Cedar Highlands CDP","57","S",2422837,0,0.935,0,37.635842,-113.041037,2021,"43",TRUE,TRUE,1
"50","UT",4956750,2787910,"Ophir CDP","57","S",330526,0,0.128,0,40.370055,-112.255963,2018,"43",TRUE,TRUE,1
"51","VT",5050200,2765037,"Northfield CDP","57","S",3546310,86304,1.369,0.033,44.155846,-72.655601,2015,"47",TRUE,TRUE,1
"52","VT",5076900,2803714,"Waterbury CDP","57","S",3357994,85299,1.297,0.033,44.336415,-72.749053,2019,"47",TRUE,TRUE,1
"53","VA",5118624,2785018,"Columbia CDP","57","S",369847,0,0.143,0,37.753843,-78.163369,2017,"43",TRUE,TRUE,1
