jdwcheck/date,USPS,GEOID,NAME,year_dis,referendum,votesyes,voteno,vote_pct,vote_difference,threshold,success,vote_margin,registered,pop_dis,turnout_dis,turnout_pop_dis,year_nextpres
yes_20220503,NY,36XXXXX,Cuba,2010,TRUE,43,402,0.096629213,-0.806741573,0.5,NO,-0.403370787,NA,3243,NA,0.137218625,2012
yes_20220503,NY,36XXXXX,Depew,2016,TRUE,1165,3006,0.279309518,-0.441380964,0.5,NO,-0.220690482,NA,15303,NA,0.272560936,2016
yes_20220421,NY,3622843,East Randolph CDP,2013,TRUE,57,11,0.838235294,0.676470588,0.5,YES,0.338235294,NA,629,NA,0.108108108,2016
yes_20220421,NY,3623635,Edwards CDP,2011,TRUE,55,9,0.859375,0.71875,0.5,YES,0.359375,NA,438,NA,0.146118721,2012
yes_20220503,NY,36XXXXX,Farnham,2010,TRUE,30,130,0.1875,-0.625,0.5,NO,-0.3125,NA,371,NA,0.431266846,2012
yes_20220504,NY,36XXXXX,Fleischmanns,2019,TRUE,46,70,0.396551724,-0.206896552,0.5,NO,-0.103448276,NA,310,NA,0.374193548,2020
yes_20220421,NY,3626649,Forestville CDP,2017,TRUE,137,97,0.585470085,0.170940171,0.5,YES,0.085470085,425,697,0.550588235,0.335724534,2020
yes_20220504,NY,36XXXXX,Greenwich,2014,TRUE,203,281,0.419421488,-0.161157025,0.5,NO,-0.080578512,NA,1777,NA,0.272369162,2016
yes_20220421,NY,3634165,Hermon CDP,2018,TRUE,95,15,0.863636364,0.727272727,0.5,YES,0.363636364,215,400,0.511627907,0.275,2020
yes_20220421,NY,3634220,Herrings CDP,2018,TRUE,19,9,0.678571429,0.357142857,0.5,YES,0.178571429,NA,90,NA,0.311111111,2020
yes_20220504,NY,36XXXXX,Johnson City,2009,TRUE,2216,2256,0.495527728,-0.008944544,0.5,NO,-0.004472272,NA,15700,NA,0.284840764,2012
yes_20220421,NY,3639089,Keeseville CDP,2017,TRUE,268,176,0.603603604,0.207207207,0.5,YES,0.103603604,NA,1815,NA,0.244628099,2020
yes_20220503,NY,36XXXXX,Lakewood,2017,TRUE,353,849,0.293677205,-0.412645591,0.5,NO,-0.206322795,NA,2797,NA,0.429746157,2020
yes_20220503,NY,36XXXXX,Leicester,2011,TRUE,48,135,0.262295082,-0.475409836,0.5,NO,-0.237704918,NA,2200,NA,0.083181818,2012
yes_20220421,NY,3642378,Limestone CDP,2009,TRUE,71,26,0.731958763,0.463917526,0.5,YES,0.231958763,229,389,0.423580786,0.249357326,2012
yes_20220421,NY,3643962,Lyons CDP,2016,TRUE,519,353,0.595183486,0.190366972,0.5,YES,0.095183486,NA,3619,NA,0.240950539,2016
yes_20220421,NY,3644149,Macedon CDP,2008,TRUE,228,257,0.470103093,-0.059793814,0.5,NO,-0.029896907,NA,1523,NA,0.318450427,2012
yes_20220421,NY,3644149,Macedon CDP,2010,TRUE,199,295,0.402834008,-0.194331984,0.5,NO,-0.097165992,NA,1523,NA,0.324359816,2012
yes_20220421,NY,3644149,Macedon CDP,2015,TRUE,300,246,0.549450549,0.098901099,0.5,YES,0.049450549,NA,1523,NA,0.358502955,2016
yes_20220503,NY,36XXXXX,Malone,2012,TRUE,562,1117,0.334723049,-0.330553901,0.5,NO,-0.165276951,NA,5911,NA,0.284046693,2016
yes_20220503,NY,36XXXXX,Mannsville,2013,TRUE,17,106,0.138211382,-0.723577236,0.5,NO,-0.361788618,NA,354,NA,0.347457627,2016
yes_20220421,NY,3646085,Mastic Beach CDP,2018,TRUE,1922,1215,0.612687281,0.225374562,0.5,YES,0.112687281,NA,14849,NA,0.211260018,2020
yes_20220503,NY,36XXXXX,Medina,2015,TRUE,527,949,0.35704607,-0.285907859,0.5,NO,-0.14295393,NA,17234,NA,0.085644656,2016
